"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RC-COMBINED GENDER BY RACE INDICATOR","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","75456000","282768","269000"
"1 - Within the past 30 days","Overall","0.002","0.0001","0.001","0.002","1","0","N/A","N/A","0.002","0.0001","0.001","0.002","122000","516","8000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","1000","3","1000"
"2 - More than 30 days ago but within the past 12 mos","Overall","0.001","0.0001","0.001","0.002","1","0","N/A","N/A","0.001","0.0001","0.001","0.002","106000","469","7000"
"3 - More than 12 months ago","Overall","0.013","0.0003","0.013","0.014","1","0","N/A","N/A","0.013","0.0003","0.013","0.014","1015000","3106","26000"
"8 - At some point in the past 12 months LOG ASSN","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","0","4","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","1000","3","1000"
"9 - At some point in the lifetime LOG ASSN","Overall","0","0","0","0","1","0","N/A","N/A","0","0","0","0","11000","32","3000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","0.982","0.0004","0.981","0.983","1","0","N/A","N/A","0.982","0.0004","0.981","0.983","74116000","278263","270000"
"97 - REFUSED","Overall","0.001","0.0001","0.001","0.001","1","0","N/A","N/A","0.001","0.0001","0.001","0.001","49000","192","4000"
"98 - MISSING","Overall","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","34000","180","4000"
"Overall","1 - Male, White, Not Hisp","0.307","0.0017","0.303","0.31","0.307","0.0017","0.303","0.31","1","0","N/A","N/A","23132000","79169","149000"
"1 - Within the past 30 days","1 - Male, White, Not Hisp","0.001","0.0001","0.001","0.001","0.555","0.0234","0.508","0.601","0.003","0.0002","0.002","0.003","68000","243","6000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male, White, Not Hisp","0","0","0","0","0.628","0.2977","0.115","0.956","0","0","0","0","1000","2","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male, White, Not Hisp","0.001","0.0001","0.001","0.001","0.471","0.0313","0.409","0.534","0.002","0.0002","0.002","0.003","50000","185","4000"
"3 - More than 12 months ago","1 - Male, White, Not Hisp","0.007","0.0002","0.007","0.008","0.523","0.012","0.499","0.547","0.023","0.0008","0.021","0.025","531000","1414","19000"
"8 - At some point in the past 12 months LOG ASSN","1 - Male, White, Not Hisp","0","0","0","0","0.311","0.2008","0.064","0.748","0","0","0","0","0","1","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male, White, Not Hisp","0","0","0","0","0.896","0.1287","0.351","0.993","0","0","0","0","1000","2","1000"
"9 - At some point in the lifetime LOG ASSN","1 - Male, White, Not Hisp","0","0","0","0","0.41","0.1569","0.159","0.719","0","0.0001","0","0.001","5000","8","2000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male, White, Not Hisp","0.298","0.0017","0.294","0.301","0.303","0.0017","0.3","0.307","0.971","0.0009","0.969","0.973","22458000","77222","146000"
"97 - REFUSED","1 - Male, White, Not Hisp","0","0","0","0","0.192","0.0377","0.127","0.279","0","0.0001","0","0.001","9000","46","2000"
"98 - MISSING","1 - Male, White, Not Hisp","0","0","0","0","0.31","0.0542","0.212","0.427","0","0.0001","0","0.001","11000","46","2000"
"Overall","2 - Female, White, Not Hisp","0.322","0.002","0.318","0.326","0.322","0.002","0.318","0.326","1","0","N/A","N/A","24278000","85727","182000"
"1 - Within the past 30 days","2 - Female, White, Not Hisp","0","0","0","0","0.236","0.0247","0.19","0.289","0.001","0.0001","0.001","0.001","29000","143","3000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female, White, Not Hisp","0","0","0","0","0.372","0.2977","0.044","0.885","0","0","0","0","0","1","0"
